Date,Price,Open,High,Low,Vol.,Change %
4/18/2024,811.42,817.01,829.31,809.96,153.59M,-0.63%
4/17/2024,816.54,809.89,827.62,804.25,180.89M,1.10%
4/16/2024,807.65,856.3,856.3,807.16,252.92M,-5.75%
4/15/2024,856.92,889.63,895.03,855.84,128.85M,-3.83%
4/12/2024,891.02,934.66,935.59,888.7,465.93M,-4.67%
4/8/2024,934.66,960.32,970.69,934.66,129.19M,-2.67%
4/5/2024,960.32,977.76,977.76,953.99,270.88M,-1.78%
4/4/2024,977.76,"1,004.59","1,004.59",976.86,346.85M,-2.67%
4/3/2024,"1,004.59","1,028.88","1,031.01","1,004.59",202.99M,-2.36%
4/2/2024,"1,028.88","1,019.99","1,045.14","1,014.85",357.37M,-0.07%
3/28/2024,"1,029.63","1,019.58","1,034.05","1,019.54",377.30M,0.60%
3/27/2024,"1,023.44",993.5,"1,024.44",989.71,297.01M,3.01%
3/26/2024,993.5,998.42,"1,001.92",993.5,240.50M,0.07%
3/25/2024,992.84,"1,011.86","1,011.86",992.61,94.87M,-1.72%
3/22/2024,"1,010.18",995.64,"1,033.54",995.64,347.59M,1.46%
3/21/2024,995.64,986.8,"1,002.49",969.16,182.38M,0.90%
3/20/2024,986.8,"1,004.77","1,004.77",983.02,135.60M,-1.79%
3/19/2024,"1,004.77",994.34,"1,007.68",982.73,151.65M,1.07%
3/18/2024,994.12,969.57,995.69,963.62,155.95M,2.53%
3/15/2024,969.57,943.81,943.81,936.89,32.04M,2.73%
3/14/2024,943.81,948.24,950.77,932.87,118.19M,0.25%
3/13/2024,941.43,923.42,947.39,923.42,136.39M,1.95%
3/12/2024,923.42,876.48,923.42,873.21,219.54M,5.36%
3/11/2024,876.48,859.27,876.48,859.27,216.77M,2.00%
3/8/2024,859.27,857.03,863.3,849.98,117.46M,0.28%
3/7/2024,856.83,879.44,879.44,852.43,118.89M,-2.57%
3/6/2024,879.44,867.46,882.94,858.14,168.85M,0.24%
3/5/2024,877.32,867.23,877.32,861.32,107.12M,1.14%
3/4/2024,867.46,876.45,881.58,866.42,67.13M,-0.46%
3/1/2024,871.51,853.44,892.87,853.44,175.35M,2.59%
2/29/2024,849.49,800.11,850.3,778.98,238.84M,6.14%
2/28/2024,800.33,853.37,853.37,800.29,153.53M,-6.90%
2/27/2024,859.65,889.47,889.49,859.65,116.79M,-3.35%
2/26/2024,889.47,877.6,895.32,869.09,161.76M,1.35%
2/23/2024,877.6,871.8,878.42,865.38,150.99M,0.67%
2/22/2024,871.8,876.73,883.93,871.65,110.88M,-0.44%
2/21/2024,875.68,872.95,885.37,865.59,118.19M,0.31%
2/20/2024,872.95,896.16,899.66,870.39,106.80M,-2.37%
2/19/2024,894.11,896.45,904.28,891.54,109.35M,-0.26%
2/16/2024,896.45,889.9,903.87,888.61,172.38M,0.74%
2/15/2024,889.9,901.81,904.02,887.87,111.29M,-1.32%
2/14/2024,901.81,884.06,908.21,884.06,231.85M,2.01%
2/13/2024,884.06,900.94,901.14,876.37,86.25M,-1.85%
2/12/2024,900.68,909.11,909.11,888.07,96.09M,-0.88%
2/9/2024,908.66,892.27,926.12,892.27,110.58M,1.34%
2/8/2024,896.67,918.04,918.04,857.83,172.25M,-2.33%
2/7/2024,918.04,931.51,931.51,915.44,144.81M,-1.45%
2/6/2024,931.51,953.13,953.13,926.54,144.52M,-2.27%
2/5/2024,953.13,976.54,996.54,952.31,471.83M,-2.30%
2/2/2024,975.61,945.77,990.57,945.77,616.09M,4.37%
2/1/2024,934.73,858.2,935.6,841.76,273.45M,7.82%
1/31/2024,866.93,947.25,949.81,866.93,284.29M,-8.07%
1/30/2024,943.02,"1,008.02","1,008.02",934.25,221.06M,-6.73%
1/29/2024,"1,011.10","1,021.80","1,033.86","1,009.34",240.24M,-1.05%
1/26/2024,"1,021.80","1,010.47","1,022.28","1,008.66",154.51M,1.19%
1/25/2024,"1,009.80",996.84,"1,011.27",990.08,207.25M,1.39%
1/24/2024,995.91,"1,002.07","1,003.92",990.63,90.35M,-0.61%
1/23/2024,"1,002.07","1,029.41","1,029.63",979.66,287.13M,-2.66%
1/22/2024,"1,029.41","1,040.52","1,041.86","1,025.58",154.43M,-0.90%
1/19/2024,"1,038.72","1,043.16","1,043.16","1,024.73",215.70M,-0.46%
1/18/2024,"1,043.54","1,064.04","1,064.04","1,038.52",250.59M,-1.89%
1/17/2024,"1,063.63","1,099.45","1,099.45","1,062.16",244.68M,-3.26%
1/16/2024,"1,099.45","1,053.58","1,101.34","1,053.56",264.55M,4.35%
1/15/2024,"1,053.58","1,039.08","1,053.58","1,033.32",176.56M,1.30%
1/12/2024,"1,040.02","1,034.48","1,048.40","1,034.48",198.12M,0.54%
1/11/2024,"1,034.48","1,004.62","1,050.67",986.5,328.06M,2.73%
1/10/2024,"1,006.99","1,095.05","1,098.25",999.93,605.51M,-7.97%
1/9/2024,"1,094.14","1,009.69","1,100.94","1,009.69",660.82M,8.16%
1/8/2024,"1,011.57",989.53,"1,011.57",980.19,360.01M,2.23%
1/5/2024,989.53,955,999.72,955,363.54M,3.62%
1/4/2024,955,953.76,964.45,948.14,417.17M,0.13%
1/3/2024,953.76,896.06,954.31,896.06,381.88M,6.66%
1/2/2024,894.2,895.35,897.85,879.58,106.92M,-0.33%
12/29/2023,897.2,885.59,902.58,881.19,127.04M,1.12%
12/28/2023,887.22,889.15,889.15,877.07,153.05M,-0.22%
12/27/2023,889.15,890.52,903.08,888.7,130.92M,0.17%
12/22/2023,887.6,894.52,901.51,885.88,130.72M,-0.77%
12/21/2023,894.52,882.12,897.6,882.12,196.90M,1.41%
12/20/2023,882.12,875.59,888.71,874.96,179.80M,0.75%
12/19/2023,875.59,859.36,875.59,855.84,128.83M,1.89%
12/18/2023,859.36,858.43,860.53,853.24,110.23M,0.07%
12/15/2023,858.79,865.34,866.96,854.19,96.72M,-0.72%
12/14/2023,864.98,848.86,870.05,848.86,227.62M,1.90%
12/13/2023,848.86,820.81,849.23,820.8,196.98M,3.42%
12/12/2023,820.81,815.31,820.81,812.62,98.46M,0.67%
12/11/2023,815.31,804.71,816.03,803.8,100.01M,1.59%
12/8/2023,802.54,789.87,808.58,787.23,84.20M,1.60%
12/7/2023,789.87,806.45,819.53,787.31,144.16M,-2.01%
12/6/2023,806.09,766.58,812.3,766.22,289.25M,5.01%
12/5/2023,767.66,756.67,767.66,756.67,141.62M,1.45%
12/4/2023,756.67,756.57,760.51,755.78,96.57M,0.01%
12/1/2023,756.57,748.05,757.61,747.81,126.52M,1.14%
11/30/2023,748.05,751.14,755.3,747.52,140.31M,-0.41%
11/29/2023,751.14,755.38,755.75,749.15,79.52M,-0.56%
11/28/2023,755.38,754.95,757.23,752.98,165.57M,0.06%
11/27/2023,754.95,743.73,763.74,743.73,254.19M,1.71%
11/24/2023,742.29,730.9,743.81,730.06,157.22M,1.62%
11/23/2023,730.47,730.96,732.6,730.23,92.57M,0.03%
11/22/2023,730.24,728.86,730.33,728.08,119.21M,0.19%
11/21/2023,728.86,725.53,729.98,725.53,168.90M,0.46%
11/20/2023,725.53,728.45,728.45,724.3,83.16M,-0.36%
11/17/2023,728.16,728.16,729.94,726.38,149.46M,0.00%
11/16/2023,728.16,731.09,734.07,726.47,83.16M,-0.35%
11/15/2023,730.7,736.3,736.3,729.49,64.73M,-0.76%
11/14/2023,736.3,731.09,736.74,729.43,117.44M,0.69%
11/13/2023,731.23,728.07,733.28,727.66,198.65M,0.38%
11/10/2023,728.46,728.21,731.74,726.31,114.61M,0.03%
11/9/2023,728.21,726.69,728.57,722.73,166.43M,0.21%
11/8/2023,726.69,724.8,727,723.59,115.88M,0.26%
11/7/2023,724.8,724.78,727.03,721.78,140.45M,0.00%
11/6/2023,724.78,721.2,724.78,718.77,174.29M,0.66%
11/3/2023,720.03,725.99,725.99,711.39,127.68M,-0.82%
11/2/2023,725.99,731.07,733.52,724.47,179.08M,-0.85%
11/1/2023,732.24,717.23,732.24,714.49,257.45M,2.21%
10/31/2023,716.42,714.41,716.42,708.1,131.20M,0.94%
10/30/2023,709.72,701.33,709.72,701.33,105.53M,1.20%
10/27/2023,701.33,697.61,702.06,696.08,59.93M,0.59%
10/26/2023,697.22,699.53,702.56,696.01,95.49M,-0.33%
10/25/2023,699.53,707.99,711.18,699.53,146.62M,-1.09%
10/24/2023,707.21,697.14,707.21,697.14,142.98M,1.44%
10/23/2023,697.14,694.09,700.11,692.51,119.73M,0.44%
10/20/2023,694.09,693.23,696.28,690.33,81.08M,0.12%
10/19/2023,693.23,700.5,700.5,691.63,125.05M,-1.04%
10/18/2023,700.5,695.75,703.04,695.34,211.26M,0.74%
10/17/2023,695.36,676.7,699.11,676.7,165.04M,2.75%
10/16/2023,676.75,670.47,677.36,670.06,89.43M,0.94%
10/13/2023,670.47,669.78,671.23,668.53,104.16M,0.10%
10/12/2023,669.78,663.53,669.78,663.53,179.61M,0.94%
10/11/2023,663.53,665.32,666.43,662.05,121.45M,-0.27%
10/10/2023,665.32,672.79,672.79,662.63,138.85M,-1.11%
10/9/2023,672.79,675.77,675.77,670.27,87.10M,-0.44%
10/6/2023,675.77,672.59,678.99,670.95,160.10M,0.71%
10/5/2023,671.02,668.11,671.02,667.16,109.39M,0.44%
10/4/2023,668.11,668.26,672.02,664.45,113.89M,-0.02%
10/3/2023,668.26,669.8,669.8,663.92,121.54M,0.31%
9/29/2023,666.22,657.01,666.98,656.73,133.64M,1.40%
9/28/2023,657.01,665.34,668.21,649.17,122.88M,-1.01%
9/26/2023,663.71,673.13,676.79,662.27,137.60M,-1.40%
9/25/2023,673.13,683.06,690.49,673.13,224.79M,-3.18%
9/22/2023,695.24,690.86,695.24,688.7,144.13M,0.75%
9/21/2023,690.07,693.29,693.48,688.86,110.27M,-0.46%
9/20/2023,693.29,700.1,700.34,691.43,83.38M,-0.97%
9/19/2023,700.1,700.87,702.3,696.45,158.23M,-0.11%
9/18/2023,700.87,691.02,708.34,691.02,181.53M,1.43%
9/15/2023,691.02,685.76,692.88,680.39,176.72M,0.48%
9/14/2023,687.71,688.16,690.35,679.22,467.91M,0.68%
9/13/2023,683.08,665.33,689.57,665.33,192.75M,4.58%
9/12/2023,653.15,658.38,663.48,621.29,262.35M,-2.60%
9/11/2023,670.56,714.16,714.51,667.73,236.61M,-6.11%
9/8/2023,714.16,713.19,714.19,711.56,131.34M,0.14%
9/7/2023,713.19,712.51,716.34,712.01,86.48M,0.10%
9/6/2023,712.51,708.02,713.97,701.12,105.70M,0.27%
9/5/2023,710.58,714.02,714.02,700.72,240.84M,-0.60%
9/4/2023,714.84,686.37,719.94,683.12,340.14M,5.65%
9/1/2023,676.62,651.41,676.62,651.25,202.40M,4.69%
8/31/2023,646.29,644.18,646.29,642.17,256.04M,0.33%
8/30/2023,644.18,648.34,652.97,640.24,97.07M,-0.64%
8/29/2023,648.34,637.62,653.21,637.62,122.70M,1.63%
